real,imag,np,sw,time
95.9999136,0.0,4096.0,10000.0,0.0
63.5468932,52.0761046,4096.0,10000.0,1.0002442002442002
20.9678205,48.2650021,4096.0,10000.0,2.0004884004884005
15.3255165,34.3591044,4096.0,10000.0,3.000732600732601
7.47400991,39.1643879,4096.0,10000.0,4.000976800976801
-8.0185272,24.2083029,4096.0,10000.0,5.001221001221001
12.8334678,6.15699693,4096.0,10000.0,6.001465201465202
37.1236659,37.9195586,4096.0,10000.0,7.001709401709402
3.70699199,78.6052874,4096.0,10000.0,8.001953601953602
-46.7897484,64.2563065,4096.0,10000.0,9.002197802197804
-57.136849,30.2443654,4096.0,10000.0,10.002442002442002
-58.5099751,16.7356135,4096.0,10000.0,11.002686202686203
-67.9880417,-9.82879847,4096.0,10000.0,12.002930402930405
-42.0645052,-44.8773228,4096.0,10000.0,13.003174603174605
0.423921563,-31.6936675,4096.0,10000.0,14.003418803418803
-7.35162416,5.27729956,4096.0,10000.0,15.003663003663005
-41.2612726,-3.22317185,4096.0,10000.0,16.003907203907204
-38.7856364,-35.1501031,4096.0,10000.0,17.004151404151404
-22.0827326,-42.8685739,4096.0,10000.0,18.004395604395608
-18.9934198,-54.0287901,4096.0,10000.0,19.004639804639808
10.0541711,-77.1321089,4096.0,10000.0,20.004884004884005
60.3473142,-57.1000605,4096.0,10000.0,21.005128205128205
63.9874232,-3.25195802,4096.0,10000.0,22.005372405372405
28.9802091,12.4085035,4096.0,10000.0,23.00561660561661
20.8714392,-3.4606655,4096.0,10000.0,24.00586080586081
29.4789405,0.598325309,4096.0,10000.0,25.00610500610501
20.0108072,4.59235211,4096.0,10000.0,26.00634920634921
26.9596079,-11.4671444,4096.0,10000.0,27.006593406593407
60.316383,2.8908198,4096.0,10000.0,28.006837606837607
56.3897341,53.6785166,4096.0,10000.0,29.00708180708181
8.56972712,71.2613558,4096.0,10000.0,30.00732600732601
-17.3969589,48.3163435,4096.0,10000.0,31.00757020757021
-18.6722258,38.6066758,4096.0,10000.0,32.00781440781441
-34.4655383,32.8672217,4096.0,10000.0,33.00805860805861
-38.0978463,3.28151051,4096.0,10000.0,34.00830280830281
-7.48080833,-5.94729629,4096.0,10000.0,35.00854700854701
0.284981767,26.0645399,4096.0,10000.0,36.008791208791216
-36.0699187,36.4588426,4096.0,10000.0,37.00903540903541
-55.5187264,5.19851457,4096.0,10000.0,38.009279609279616
-43.8704361,-14.7075638,4096.0,10000.0,39.00952380952381
